uid,SampleSource,TypeofIndustry,TypeofBusiness,ConsolidatedBusinessType,VINTAGE_OF_BUSINESSinyears,City,State,Region,a1,a2,a3,a3_os,a4,our cat,a5,a6,a7,a7_os,a8,a9,total,less than 2,02-May,05-Oct,Oct-15,15-20,20-50,50+,b1,b2,b3,b3_1,b4,b4_os,b5,b5_1,b5_2,b6,b6_1,b7,b8,b9,b10,b10_1,b10_2,b11,c1,c2,c2_os,c3,c4,c4a,c4b,c4b_os,gender,f1,f2,household challenges,f3_os,household_activities,f4_os,f4a,f4b,f4c,f4d,f4e,f4f,f4g,f4x,f4z,use of digital payments,g1_os,g1check,g2,g3,g4,g4_os,g5,g5_os,SampleSource,Gender,TypeofIndustry,TypeofBusiness,ConsolidatedBusinessType,VINTAGE_OF_BUSINESSinyears,City,State,Wave,selected_business,,ConsolidatedBusinessType
7325,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,8,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,8,10,18,,,,,Y,,,Better than expected,,,,Don't have any cash reserves,,Yes,Yes,1,Yes,60000,Partial payment,Partial payment,No,No,,,Yes,Fully confident,2 4,,4-6 months,Yes,bank ko,,,Male,Yes,,0,,1 6 8,,1,,,,,2,,,,3 4,,,1-2 years,Increased,3,,3 5,,,,,,,,,,,,,
7330,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,15,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,No,Fully Shut,,,4,3,7,,,Y,,,,,Better than expected,,,,Enough to survive 2 months,,No,,,Yes,100000,No,No,No customers due to lockdown,No,,,Yes,Not confident,2,,> 6 months,Yes,government ko,,,Male,No,40,0,,2 6 8,,,1,,,,3,,,,3 4,,,2-3 years,Remained the same,3 4,,3 4,,,,,,,,,,,,,
7331,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,23,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,No,Fully Shut,,,4,0,4,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,1,Yes,70000,No,No,No,No,,,Yes,Somewhat confident,2,,> 6 months,No,,Did not find beneficial enough,,Male,Yes,,2,,2 6 8,,,3,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,
7336,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,18,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Better than expected,,,,Don't have any cash reserves,,No,,,Yes,50000,No,No,No,Yes,0,2,Yes,Not confident,2,,> 6 months,Yes,bank ko,,,Male,Yes,,1 2 4,,2 6 8,,,1,,,,3,,,,4,,,1-2 years,Increased,4,,3 4,,,,,,,,,,,,,
7337,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,4,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,No,Fully Shut,,,8,0,8,,,Y,,,,,Better than expected,,,,Don't have any cash reserves,,Yes,Yes,2,Yes,,Partial payment,Partial payment,No,No,,,No Loan,Fully confident,2,,4-6 months,Yes,government ko,,,Male,Yes,,4,,2 6,,,1,,,,2,,,,7,,,,,,,,,,,,,,,,,,,,
7346,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,18,New Delhi,Delhi,North India,Yes,Female,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,4,0,4,,Y,,,,,,Better than expected,,,,Don't have any cash reserves,,No,,,No,,No,No,No,No,,,Yes,Somewhat confident,0,,> 6 months,Yes,Bank ko,,,Female,No,35,0,,1 2 6,,1,2,,,,3,,,,7,,,,,,,,,,,,,,,,,,,,
7351,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,18,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Better than expected,,,,Enough to survive 3 months or more,,Yes,Yes,3,No,,Yes full payment,Yes full payment,No,No,,,No,Not confident,1 2 4,,> 6 months,Yes,100000,,,Male,Yes,,1 2 3 4,,1 2,,1,2,,,,,,,,3,,,2-3 years,Remained the same,1 3 4,,1 3 4,,,,,,,,,,,,,
7352,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,20,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,No,Fully Shut,,,1,0,1,Y,,,,,,,Better than expected,,,,Enough to survive 2 months,,No,,,Yes,30000,Yes full payment,Yes full payment,Only partially,No,,,Yes,Somewhat confident,1 2 4 -888,khi aane Jane ki dikkat,> 6 months,Yes,50000,,,Male,Yes,,0,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
7354,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,15,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,No,Fully Shut,,,0,15,15,,,,,Y,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,4,No,,Yes full payment,Yes full payment,No,No,,,Yes,Not confident,1 2 4 6,,> 6 months,Yes,500000,,,Male,Yes,,2 3 4,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
7356,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,16,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,No,Fully Shut,,,2,0,2,,Y,,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,No,,Yes,35000,Partial payment,Partial payment,Only partially,No,,,Yes,Not confident,2 4 6,,4-6 months,Yes,50000,,,Male,Yes,,0,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
7358,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,15,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Better than expected,,,,Enough to survive 2 months,,No,,,Yes,20000,Yes full payment,Yes full payment,Only partially,No,,,No Loan,Somewhat confident,0,,> 6 months,No,,Did not find beneficial enough,,Male,Yes,,0,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
7364,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,20,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,No,Fully Shut,,,2,0,2,,Y,,,,,,Better than expected,,,,Enough to survive 1 month,,Yes,Yes,2 4,No,,Yes full payment,Yes full payment,Only partially,No,,,No,Somewhat confident,1 2,,4-6 months,Yes,500000,,,Male,Yes,,2 3 4,,1 2,,1,2,,,,,,,,3,,,2-3 years,Decreased,1 4,,1 2 3 4,,,,,,,,,,,,,
7365,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,9,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,20,0,20,,,,,,Y,,Better than expected,,,,Enough to survive 2 months,,No,,,Yes,20000,Yes full payment,Yes full payment,Only partially,No,,,No,Not confident,1 2 6,,> 6 months,Yes,100000,,,Male,Yes,,0,,1 2,,1,2,,,,,,,,3,,,1-2 years,Decreased,1 4,,2 3 4,,,,,,,,,,,,,
7366,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,4,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,5,0,5,,,Y,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,3,No,,Yes full payment,Yes full payment,Only partially,No,,,No Loan,Not confident,1 2 4,,> 6 months,Yes,500000,,,Male,Yes,,0,,1 2,,2,1,,,,,,,,3,,,1-2 years,Remained the same,1 4,,1 4,,,,,,,,,,,,,
7369,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,19,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,No,Fully Shut,,,2,0,2,,Y,,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,No,,No,,Yes full payment,Yes full payment,"Yes, but with delay",No,,,Yes,Not confident,1 2 4,,4-6 months,Yes,50000,,,Male,Yes,,2 3 4,,1 2,,1,2,,,,,,,,3,,,1-2 years,Remained the same,1 4,,1 2 4,,,,,,,,,,,,,
7370,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,15,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Better than expected,,,,Enough to survive 1 month,,Yes,Yes,3 4,Yes,25000,No supplier payments pending,No supplier payments pending,Only partially,"No, but not able to pay them",,,No,Somewhat confident,1 2 4,,4-6 months,No,,Did not find beneficial enough,,Male,No,70,2 3 4,,1 2,,1,2,,,,,,,,3,,,2-3 years,Remained the same,1 4,,1 3 4,,,,,,,,,,,,,
7373,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,25,New Delhi,Delhi,North India,No,Male,Fixed Store/ Shop,,Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Better than expected,,,,Enough to survive 2 months,,No,,,Yes,25000,Partial payment,No,No,No,,,No Loan,Fully confident,1 2,,0-3 months,No,,Did not find beneficial enough,,Male,Yes,,0,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
7375,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,12,New Delhi,Delhi,North India,No,Male,Fixed Store/ Shop,,Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,3,No,,Yes full payment,Partial payment,No,No,,,No,Somewhat confident,2 4 6,,0-3 months,No,,Requirements not fulfilled,,Male,Yes,,4,,1 4,,1,,,2,,,,,,3,,,2-3 years,Remained the same,1 2 4,,1 3 4,,,,,,,,,,,,,
7376,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,12,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,12,0,12,,,,Y,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,2,Yes,15000,Yes full payment,Partial payment,Only partially,No,,,Yes,Not confident,1 2 4,,0-3 months,Yes,300000,,,Male,Yes,,0,,1 2,,1,2,,,,,,,,3,,,1-2 years,Remained the same,1 3 4,,1 3 4,,,,,,,,,,,,,
7381,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,4,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,No,Fully Shut,,,5,0,5,,,Y,,,,,Better than expected,,,,Enough to survive 1 month,,Yes,Yes,2 3,Yes,15000,Yes full payment,Partial payment,"Yes, but with delay",No,,,No,Somewhat confident,1 2 -888,rashan,4-6 months,Yes,50000,,,Male,Yes,,2 3 4,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
7382,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,15,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,10,0,10,,,,Y,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,3,No,,Yes full payment,Yes full payment,Only partially,"No, but not able to pay them",,,Yes,Not confident,1 2 6,,Uncertain,Yes,50000,,,Male,Yes,,2 3 4,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
7386,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,4,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Enough to survive 2 months,,No,,,No,,No,No,No customers due to lockdown,"No, but not able to pay them",,,No,Not confident,1 2 4,,> 6 months,Yes,100000,,,Male,Yes,,0,,1 2 4,,2,3,,1,,,,,,7,,,,,,,,,,,,,,,,,,,,
7387,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,19,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,No,Fully Shut,,,0,7,7,,,Y,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,2 3,No,,Yes full payment,Yes full payment,Only partially,No,,,No,Not confident,1 2 4,,4-6 months,Yes,50000,,,Male,Yes,,0,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
7388,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,15,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,No,Fully Shut,,,3,0,3,,Y,,,,,,Worse than expected,,,,Enough to survive 3 months or more,,Yes,Yes,2 3,Yes,45000,Yes full payment,Yes full payment,Only partially,No,,,No,Not confident,0,,0-3 months,Yes,50000,,,Male,Yes,,3 4,,1 2,,1,2,,,,,,,,3,,,1-2 years,Remained the same,4,,1 3 4,,,,,,,,,,,,,
7389,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,8,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,0,18,18,,,,,Y,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,3,No,,Yes full payment,Yes full payment,No,No,,,No,Not confident,2 3 4,,4-6 months,Yes,300000,,,Male,No,40,0,,1 2,,1,2,,,,,,,,3,,,2-3 years,Remained the same,1 4,,2 3 4,,,,,,,,,,,,,
7394,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,4,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,No,Fully Shut,,,0,20,20,,,,,,Y,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,2,No,,Yes full payment,Yes full payment,Only partially,No,,,No,Not confident,2 4 6,,4-6 months,Yes,100000,,,Male,Yes,,2 3 4,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
7397,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,4,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,8,0,8,,,Y,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,4,Yes,25000,Yes full payment,Partial payment,Only partially,No,,,No,Not confident,2,,4-6 months,No,,Requirements not fulfilled,,Male,Yes,,0,,1 2,,2,1,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
7398,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,8,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,No,Fully Shut,,,40,0,40,,,,,,Y,,Better than expected,,,,Enough to survive 1 month,,Yes,Yes,1,No,,Yes full payment,Partial payment,Only partially,No,,,Yes,Not confident,1 2,,4-6 months,Yes,100000,,,Male,No,75,0,,1 2,,1,2,,,,,,,,3,,,1-2 years,Remained the same,1 4,,2 4,,,,,,,,,,,,,
7400,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,8,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,6,0,6,,,Y,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,1 2,Yes,25000,Yes full payment,Yes full payment,"Yes, but with delay",No,,,No,Not confident,2 4,,4-6 months,Yes,50000,,,Male,Yes,,2 3 4,,1 2,,1,2,,,,,,,,3,,,2-3 years,Remained the same,1 4,,1 3 4,,,,,,,,,,,,,
7401,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,13,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,No,Fully Shut,,,0,1,1,Y,,,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,1,Yes,15000,Yes full payment,Yes full payment,Only partially,"No, but not able to pay them",,,No,Not confident,1 6,,4-6 months,Yes,200000,,,Male,No,70,0,,1 2,,1,2,,,,,,,,3,,,2-3 years,Remained the same,1 2 4,,1 3,,,,,,,,,,,,,
7403,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,8,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Better than expected,,,,Enough to survive 1 month,,Yes,Yes,1,No,,No,No,No,"No, but not able to pay them",,,No Loan,Somewhat confident,1 2,,4-6 months,Yes,rashan,,,Male,Yes,,0,,1 4,,1,,,2,,,,,,3,,,6-12 months,Remained the same,1 3 4,,1,,,,,,,,,,,,,
7405,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,4,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,No,Fully Shut,,,3,0,3,,Y,,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,1,No,,Yes full payment,Yes full payment,Only partially,No,,,Yes,Not confident,1 3,,4-6 months,Yes,peck ke dipent krta hai,,,Male,Yes,,0,,1 4,,1,,,2,,,,,,7,,,,,,,,,,,,,,,,,,,,
7406,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,8,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,18,0,18,,,,,Y,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,2,Yes,15000,Yes full payment,Yes full payment,Yes,No,,,Yes,Not confident,1 2 3,,4-6 months,Yes,1000000,,,Male,Yes,,0,,1 2 4,,1,2,,3,,,,,,3,,,2-3 years,Remained the same,1 3 4,,1 3 4,,,,,,,,,,,,,
7411,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,8,New Delhi,Delhi,North India,No,Male,Fixed Store/ Shop,,Essential,Non Essential,No,Fully Shut,,,15,0,15,,,,,Y,,,Better than expected,,,,Enough to survive 2 months,,No,,,Yes,15000,Yes full payment,Yes full payment,No,No,,,Yes,Somewhat confident,1 2,,4-6 months,Yes,100000,,,Male,Yes,,3 4,,1 2,,1,2,,,,,,,,3,,,1-2 years,Remained the same,1 3 4,,1 3 4,,,,,,,,,,,,,
7415,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,4,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,No,Fully Shut,,,7,0,7,,,Y,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,4,Yes,20000,Yes full payment,Partial payment,Only partially,No,,,Yes,Not confident,1 4 7,,4-6 months,No,,Did not find beneficial enough,,Male,No,80,0,,1 2,,1,2,,,,,,,,3 4,,,2-3 years,Remained the same,1 4,,1 3 4,,,,,,,,,,,,,
7416,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,4,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,0,2,2,,Y,,,,,,Worse than expected,,,,Enough to survive 2 months,,Yes,Yes,4,No,,Yes full payment,Yes full payment,"Yes, but with delay",No,,,Yes,Not confident,2 6 7,,4-6 months,Yes,1000000,,,Male,Yes,,0,,1 2,,1,2,,,,,,,,3,,,1-2 years,Remained the same,1 2 4,,1 4,,,,,,,,,,,,,
7417,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,25,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,12,0,12,,,,Y,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,2 4,Yes,30000,Yes full payment,Yes full payment,Only partially,No,,,No,Not confident,1 2 4,,4-6 months,Yes,100000,,,Male,No,30,1 2 3,,1 4,,1,,,2,,,,,,3,,,> 3 years,Decreased,1 3 4,,1 3 4,,,,,,,,,,,,,
7418,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,12,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,No,Fully Shut,,,1,0,1,Y,,,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,4,Yes,15000,Yes full payment,Yes full payment,Yes,No,,,Yes,Somewhat confident,2 6,,4-6 months,Yes,500000,,,Male,Yes,,3 4,,1 2,,2,1,,,,,,,,3,,,1-2 years,Remained the same,1 4,,1 3 4,,,,,,,,,,,,,
7419,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,12,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,10,0,10,,,,Y,,,,Worse than expected,,,,Enough to survive 2 months,,No,,,Yes,30000,Yes full payment,Partial payment,Only partially,No,,,No,Somewhat confident,2 4,,4-6 months,Yes,10000000,,,Male,Yes,,0,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
7420,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,15,New Delhi,Delhi,North India,No,Male,Fixed Store/ Shop,,Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,1 2,No,,No,No,No,No,,,No,Not confident,1 4,,0-3 months,Yes,50000,,,Male,Yes,,2 3 4,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
7421,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,15,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,2,No,,Partial payment,No supplier payments pending,Only partially,"No, but not able to pay them",,,No,Not confident,2 4,,0-3 months,No,,Did not find beneficial enough,,Male,Yes,,2 3 4,,1 2,,2,1,,,,,,,,3,,,2-3 years,Remained the same,1 4,,3 4,,,,,,,,,,,,,
7422,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,12,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,0,3,3,,Y,,,,,,Worse than expected,,,,Enough to survive 2 months,,Yes,Yes,1,No,,Yes full payment,Yes full payment,Only partially,No,,,No,Not confident,1 2 4 6,,0-3 months,No,,Did not find beneficial enough,,Male,Yes,,0,,1 2,,1,2,,,,,,,,3,,,1-2 years,Remained the same,1 4,,1 2 4,,,,,,,,,,,,,
7423,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,15,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,No,Fully Shut,,,12,0,12,,,,Y,,,,Worse than expected,,,,Enough to survive 2 months,,Yes,Yes,2,Yes,30000,Yes full payment,Yes full payment,Only partially,No,,,No,Somewhat confident,1 3 4,,0-3 months,Yes,500000,,,Male,Yes,,0,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
7430,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,16,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,15,3,18,,,,,Y,,,Same as expected,,,,Enough to survive 3 months or more,,Yes,Yes,3,Yes,100000,Yes full payment,Yes full payment,Only partially,No,,,No,Somewhat confident,2 4 6,,4-6 months,Yes,500000,,,Male,Yes,,0,,1 2,,1,2,,,,,,,,3,,,2-3 years,Remained the same,1 3 4,,2 3 4,,,,,,,,,,,,,
7432,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,8,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,1 2,Yes,80000,Yes full payment,Yes full payment,"Yes, but with delay",No,,,Yes,Not confident,2 6,,4-6 months,Yes,50000,,,Male,Yes,,2 3 4,,1 2,,1,2,,,,,,,,3,,,1-2 years,Remained the same,1 3 4,,2 3 4,,,,,,,,,,,,,
7434,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,4,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,No,Fully Shut,,,7,0,7,,,Y,,,,,Better than expected,,,,Enough to survive 2 months,,No,,,Yes,50000,Yes full payment,Yes full payment,"Yes, but with delay",No,,,No,Somewhat confident,1 2 4,,0-3 months,Yes,500000,,,Male,No,50,0,,1 2,,1,2,,,,,,,,3,,,1-2 years,Remained the same,1 4,,1 3 4,,,,,,,,,,,,,
7435,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,8,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,1 2,No,,Yes full payment,Yes full payment,Only partially,"No, but not able to pay them",,,Yes,Somewhat confident,1 2,,4-6 months,Yes,100000,,,Male,Yes,,1 2 3 4,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
7438,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,12,New Delhi,Delhi,North India,No,Male,Home based business,,Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,1 3,Yes,50000,No supplier payments pending,No supplier payments pending,Only partially,"No, but not able to pay them",,,No,Not confident,1 4,,4-6 months,Yes,rashan,,,Male,Yes,,0,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
7439,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,15,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,1,Yes,30000,No,Partial payment,No customers due to lockdown,"No, but not able to pay them",,,No,Not confident,2 4 6,,0-3 months,Yes,rashan,,,Male,Yes,,0,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
7442,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,15,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,No,Fully Shut,,,3,0,3,,Y,,,,,,Better than expected,,,,Enough to survive 3 months or more,,Yes,Yes,1 2,No,,Yes full payment,Partial payment,Only partially,"No, but not able to pay them",,,No,Not confident,1 2 4,,4-6 months,No,,Requirements not fulfilled,,Male,Yes,,0,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
7445,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,5,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,2,10,12,,,,Y,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,1 2,Yes,30000,Yes full payment,Yes full payment,Only partially,"No, but not able to pay them",,,Yes,Not confident,1 2 6,,0-3 months,No,,Requirements not fulfilled,,Male,Yes,,0,,1 2,,1,2,,,,,,,,3,,,2-3 years,Remained the same,1 3 4,,1 3 4,,,,,,,,,,,,,
